Name,University_Name_Clean,State,State_Code,Type,Degree_Length,Room_And_Board,In_State_Tuition,In_State_Total,Out_Of_State_Tuition,Out_Of_State_Total
Hofstra University,Hofstra University,New York,NY,Private,4 Year,15948,46760,62708,46760,62708
Hollins University,Hollins University,Virginia,VA,Private,4 Year,13520,39035,52555,39035,52555
Holmes Community College,Holmes Community College,Mississippi,MS,Public,2 Year,3080,3110,6190,5690,8770
Holy Apostles College and Seminary,Holy Apostles College and Seminary,Connecticut,CT,Private,4 Year,,9670,9670,9670,9670
Holy Cross College,Holy Cross College,Indiana,IN,Private,4 Year,11500,30820,42320,30820,42320
Holy Family University,Holy Family University,Pennsylvania,PA,Private,4 Year,13576,30346,43922,30346,43922
Holy Names University,Holy Names University,California,CA,Private,4 Year,13190,39316,52506,39316,52506
Holy Trinity Orthodox Seminary,Holy Trinity Orthodox Seminary,New York,NY,Private,4 Year,5290,7700,12990,7700,12990
Holyoke Community College,Holyoke Community College,Massachusetts,MA,Public,2 Year,,5760,5760,11940,11940
Hood College,Hood College,Maryland,MD,Private,4 Year,12700,39492,52192,39492,52192
Hope College,Hope College,Michigan,MI,Private,4 Year,10310,34010,44320,34010,44320
Hope International University,Hope International University,California,CA,Private,4 Year,10490,33400,43890,33400,43890
Hopkinsville Community College,Hopkinsville Community College,Kentucky,KY,Public,2 Year,,5070,5070,17760,17760
Horizon University,Horizon University,California,CA,Private,4 Year,,7700,7700,7700,7700
Horry-Georgetown Technical College,Horry Georgetown Technical College,South Carolina,SC,Public,2 Year,,5248,5248,10408,10408
Houghton College,Houghton College,New York,NY,Private,4 Year,9288,32488,41776,32488,41776
Housatonic Community College,Housatonic Community College,Connecticut,CT,Public,2 Year,,4394,4394,13162,13162
Houston Baptist University,Houston Baptist University,Texas,TX,Private,4 Year,8814,32530,41344,32530,41344
Houston Community College System,Houston Community College System,Texas,TX,Public,2 Year,,2031,2031,4686,4686
Howard College,Howard College,Texas,TX,Public,2 Year,4834,2560,7394,5420,10254
Howard Community College,Howard Community College,Maryland,MD,Public,2 Year,,4920,4920,9060,9060
Howard Payne University,Howard Payne University,Texas,TX,Private,4 Year,8386,28090,36476,28090,36476
Hudson County Community College,Hudson County Community College,New Jersey,NJ,Public,2 Year,,5718,5718,14028,14028
Hudson Valley Community College,Hudson Valley Community College,New York,NY,Public,2 Year,,5640,5640,12915,12915
Hult International Business School,Hult International Business School,California,CA,Private,4 Year,15000,40650,55650,40650,55650
Humboldt State University,Humboldt State University,California,CA,Public,4 Year,12870,7676,20546,19556,32426
Humphreys College,Humphreys College,California,CA,Private,4 Year,,14292,14292,14292,14292
Huntingdon College,Huntingdon College,Alabama,AL,Private,4 Year,9750,27400,37150,27400,37150
Huntington College of Health Sciences,Huntington College Health Sciences,Tennessee,TN,For Profit,2 Year,,6635,6635,6635,6635
Huntington University,Huntington University,Indiana,IN,Private,4 Year,8668,26180,34848,26180,34848
Huntsville Bible College,Huntsville Bible College,Alabama,AL,Private,4 Year,,5390,5390,5390,5390
"Hussian College, School of Art","Hussian College, School Art",Pennsylvania,PA,For Profit,2 Year,,21990,21990,21990,21990
Husson University,Husson University,Maine,ME,Private,4 Year,9830,18180,28010,18180,28010
Huston-Tillotson University,Huston Tillotson University,Texas,TX,Private,4 Year,7568,14346,21914,14346,21914
Hutchinson Community College,Hutchinson Community College,Kansas,KS,Public,2 Year,5800,3000,8800,4230,10030
IBMC College: Fort Collins,IBMC College Fort Collins,Colorado,CO,For Profit,2 Year,,13010,13010,13010,13010
Idaho State University,Idaho State University,Idaho,ID,Public,4 Year,7207,7420,14627,22940,30147
Ilisagvik College,Ilisagvik College,Alaska,AK,Public,2 Year,13000,4300,17300,4300,17300
Illinois Central College,Illinois Central College,Illinois,IL,Public,2 Year,,4500,4500,11340,11340
Illinois College,Illinois College,Illinois,IL,Private,4 Year,9280,33090,42370,33090,42370
Illinois Eastern Community Colleges: Frontier Community College,Illinois Eastern Community Colleges Frontier Community College,Illinois,IL,Public,2 Year,,3730,3730,11008,11008
Illinois Eastern Community Colleges: Lincoln Trail College,Illinois Eastern Community Colleges Lincoln Trail College,Illinois,IL,Public,2 Year,,3730,3730,11008,11008
Illinois Eastern Community Colleges: Olney Central College,Illinois Eastern Community Colleges Olney Central College,Illinois,IL,Public,2 Year,,3730,3730,11008,11008
Illinois Eastern Community Colleges: Wabash Valley College,Illinois Eastern Community Colleges Wabash Valley College,Illinois,IL,Public,2 Year,,3730,3730,11008,11008
Illinois Institute of Technology,Illinois Institute Technology,Illinois,IL,Private,4 Year,12762,47296,60058,47296,60058
Illinois State University,Illinois State University,Illinois,IL,Public,4 Year,9850,14516,24366,26040,35890
Illinois Valley Community College,Illinois Valley Community College,Illinois,IL,Public,2 Year,,4015,4015,11793,11793
Illinois Wesleyan University,Illinois Wesleyan University,Illinois,IL,Private,4 Year,10984,47636,58620,47636,58620
Immaculata University,Immaculata University,Pennsylvania,PA,Private,4 Year,12620,27350,39970,27350,39970
Imperial Valley College,Imperial Valley College,California,CA,Public,2 Year,,1420,1420,9010,9010
Independence Community College,Independence Community College,Kansas,KS,Public,2 Year,5168,2910,8078,3300,8468
Indian River State College,Indian River State College,Florida,FL,Public,2 Year,,3115,3115,11715,11715
Indiana Institute of Technology,Indiana Institute Technology,Indiana,IN,Private,4 Year,10020,26900,36920,26900,36920
Indiana State University,Indiana State University,Indiana,IN,Public,4 Year,10590,9090,19680,19836,30426
Indiana University Bloomington,Indiana University Bloomington,Indiana,IN,Public,4 Year,10465,10681,21146,35456,45921
Indiana University East,Indiana University East,Indiana,IN,Public,4 Year,,7344,7344,19400,19400
Indiana University Kokomo,Indiana University Kokomo,Indiana,IN,Public,4 Year,,7344,7344,19400,19400
Indiana University Northwest,Indiana University Northwest,Indiana,IN,Public,4 Year,,7344,7344,19400,19400
Indiana University of Pennsylvania,Indiana University Pennsylvania,Pennsylvania,PA,Public,4 Year,12592,12979,25571,17299,29891
Indiana University South Bend,Indiana University South Bend,Indiana,IN,Public,4 Year,7309,7344,14653,19400,26709
Indiana University Southeast,Indiana University Southeast,Indiana,IN,Public,4 Year,6780,7344,14124,19400,26180
Indiana University-Purdue University Fort Wayne,Indiana University Purdue University Fort Wayne,Indiana,IN,Public,4 Year,5996,8450,14446,20288,26284
Indiana University-Purdue University Indianapolis,Indiana University Purdue University Indianapolis,Indiana,IN,Public,4 Year,8924,9465,18389,29821,38745
Indiana Wesleyan University,Indiana Wesleyan University,Indiana,IN,Private,4 Year,8312,25980,34292,25980,34292
Institute of American Indian Arts,Institute American Indian Arts,New Mexico,NM,Public,4 Year,9604,4980,14584,4980,14584
International Baptist College,International Baptist College,Arizona,AZ,Private,4 Year,6200,11250,17450,11250,17450
International College of Broadcasting,International College Broadcasting,Ohio,OH,For Profit,2 Year,,31950,31950,31950,31950
Inver Hills Community College,Inver Hills Community College,Minnesota,MN,Public,2 Year,,5332,5332,5332,5332
Iona College,Iona College,New York,NY,Private,4 Year,15278,38812,54090,38812,54090
Iowa Central Community College,Iowa Central Community College,Iowa,IA,Public,2 Year,6850,5490,12340,7890,14740
Iowa Lakes Community College,Iowa Lakes Community College,Iowa,IA,Public,2 Year,6750,6058,12808,6388,13138
Iowa State University,Iowa State University,Iowa,IA,Public,4 Year,8720,8988,17708,23392,32112
Iowa Wesleyan College,Iowa Wesleyan University,Iowa,IA,Private,4 Year,10500,30500,41000,30500,41000
Iowa Western Community College,Iowa Western Community College,Iowa,IA,Public,2 Year,6430,5615,12045,5765,12195
Irvine Valley College,Irvine Valley College,California,CA,Public,2 Year,,1418,1418,9608,9608
Island Drafting and Technical Institute,Island Drafting and Technical Institute,New York,NY,For Profit,2 Year,,16650,16650,16650,16650
Isothermal Community College,Isothermal Community College,North Carolina,NC,Public,2 Year,,2334,2334,8094,8094
Itasca Community College,Itasca Community College,Minnesota,MN,Public,2 Year,5920,5920,11840,7102,13022
Itawamba Community College,Itawamba Community College,Mississippi,MS,Public,2 Year,3900,3020,6920,5220,9120
Ithaca College,Ithaca College,New York,NY,Private,4 Year,15562,43978,59540,43978,59540
Ivy Tech Community College: Bloomington,Ivy Tech Community College Bloomington,Indiana,IN,Public,2 Year,,4368,4368,8402,8402
Ivy Tech Community College: Central Indiana,Ivy Tech Community College Central Indiana,Indiana,IN,Public,2 Year,,4368,4368,8402,8402
Ivy Tech Community College: Columbus,Ivy Tech Community College Columbus,Indiana,IN,Public,2 Year,,4368,4368,8402,8402
Ivy Tech Community College: Kokomo,Ivy Tech Community College Kokomo,Indiana,IN,Public,2 Year,,4368,4368,8402,8402
Ivy Tech Community College: Lafayette,Ivy Tech Community College Lafayette,Indiana,IN,Public,2 Year,,4368,4368,8402,8402
Ivy Tech Community College: Muncie,Ivy Tech Community College Muncie,Indiana,IN,Public,2 Year,,4368,4368,8402,8402
Ivy Tech Community College: North Central,Ivy Tech Community College North Central,Indiana,IN,Public,2 Year,,4368,4368,8402,8402
Ivy Tech Community College: Northeast,Ivy Tech Community College Northeast,Indiana,IN,Public,2 Year,,4368,4368,8402,8402
Ivy Tech Community College: Northwest,Ivy Tech Community College Northwest,Indiana,IN,Public,2 Year,,4368,4368,8402,8402
Ivy Tech Community College: Richmond,Ivy Tech Community College Richmond,Indiana,IN,Public,2 Year,,4368,4368,8402,8402
Ivy Tech Community College: South Central,Ivy Tech Community College South Central,Indiana,IN,Public,2 Year,,4368,4368,8402,8402
Ivy Tech Community College: Southeast,Ivy Tech Community College Southeast,Indiana,IN,Public,2 Year,,4368,4368,8402,8402
Ivy Tech Community College: Southwest,Ivy Tech Community College Southwest,Indiana,IN,Public,2 Year,,4368,4368,8402,8402
Ivy Tech Community College: Wabash Valley,Ivy Tech Community College Wabash Valley,Indiana,IN,Public,2 Year,,4368,4368,8402,8402
J. Sargeant Reynolds Community College,J. Sargeant Reynolds Community College,Virginia,VA,Public,2 Year,,5508,5508,11436,11436
Jackson College,Jackson College,Michigan,MI,Public,2 Year,,5910,5910,10500,10500
Jackson State Community College,Jackson State Community College,Tennessee,TN,Public,2 Year,,4425,4425,13191,13191
Jackson State University,Jackson State University,Mississippi,MS,Public,4 Year,9552,8226,17778,19454,29006
Jacksonville College,Jacksonville College,Texas,TX,Private,2 Year,6400,8000,14400,8000,14400
Jacksonville State University,Jacksonville State University,Alabama,AL,Public,4 Year,8100,10425,18525,20145,28245
Jacksonville University,Jacksonville University,Florida,FL,Private,4 Year,14080,36670,50750,36670,50750
James A. Rhodes State College,James A. Rhodes State College,Ohio,OH,Public,2 Year,,5104,5104,10210,10210
James Madison University,James Madison University,Virginia,VA,Public,4 Year,10092,12016,22108,28416,38508
James Sprunt Community College,James Sprunt Community College,North Carolina,NC,Public,2 Year,,2501,2501,8645,8645
Jamestown Business College,Jamestown Business College,New York,NY,For Profit,2 Year,,12600,12600,12600,12600
Jamestown Community College,Jamestown Community College,New York,NY,Public,2 Year,10750,5850,16600,10720,21470
Jarvis Christian College,Jarvis Christian College,Texas,TX,Private,4 Year,8440,11720,20160,11720,20160
Jefferson College,Jefferson College,Missouri,MO,Public,2 Year,6156,3330,9486,6510,12666
Jefferson College of Health Sciences,Jefferson College Health Sciences,Virginia,VA,Private,4 Year,5870,26886,32756,26886,32756
Jefferson Community and Technical College,Jefferson Community and Technical College,Kentucky,KY,Public,2 Year,,5310,5310,18000,18000
Jefferson Community College,Jefferson Community College,New York,NY,Public,2 Year,11666,5424,17090,10176,21842
Jefferson State Community College,Jefferson State Community College,Alabama,AL,Public,2 Year,,4800,4800,8370,8370
Jewish Theological Seminary of America,Jewish Theological Seminary America,New York,NY,Private,4 Year,12570,51326,63896,51326,63896
John A. Gupton College,John A. Gupton College,Tennessee,TN,Private,2 Year,,10450,10450,10450,10450
John A. Logan College,John A. Logan College,Illinois,IL,Public,2 Year,,3600,3600,5940,5940
John Brown University,John Brown University,Arkansas,AR,Private,4 Year,9224,26928,36152,26928,36152
John Carroll University,John Carroll University,Ohio,OH,Private,4 Year,11874,41340,53214,41340,53214
John F. Kennedy University,John F. Kennedy University,California,CA,Private,4 Year,,18261,18261,18261,18261
John Paul the Great Catholic University,John Paul Great Catholic University,California,CA,Private,4 Year,7650,26100,33750,26100,33750
John Tyler Community College,John Tyler Community College,Virginia,VA,Public,2 Year,,4800,4800,10098,10098
John Wesley University,John Wesley University,North Carolina,NC,Private,4 Year,3600,13330,16930,13330,16930
John Wood Community College,John Wood Community College,Illinois,IL,Public,2 Year,,4890,4890,8190,8190
Johns Hopkins University,Johns Hopkins University,Maryland,MD,Private,4 Year,15836,54240,70076,54240,70076
Johns Hopkins University: Peabody Conservatory of Music,Johns Hopkins University Peabody Conservatory Music,Maryland,MD,Private,4 Year,15838,50180,66018,50180,66018
Johnson & Wales University: Charlotte,Johnson & Wales University Charlotte,North Carolina,NC,Private,4 Year,14148,32091,46239,32091,46239
Johnson & Wales University: Denver,Johnson & Wales University Denver,Colorado,CO,Private,4 Year,12546,32091,44637,32091,44637
Johnson & Wales University: North Miami,Johnson & Wales University North Miami,Florida,FL,Private,4 Year,12564,32091,44655,32091,44655
Johnson & Wales University: Providence,Johnson & Wales University Providence,Rhode Island,RI,Private,4 Year,14337,32091,46428,32091,46428
Johnson C. Smith University,Johnson C Smith University,North Carolina,NC,Private,4 Year,7100,18236,25336,18236,25336
Johnson College,Johnson College,Pennsylvania,PA,Private,2 Year,8250,18641,26891,18641,26891
Johnson County Community College,Johnson County Community College,Kansas,KS,Public,2 Year,,2790,2790,6600,6600
Johnson University,Johnson University,Tennessee,TN,Private,4 Year,6700,16060,22760,16060,22760
Johnson University: Florida,Johnson University Florida,Florida,FL,Private,4 Year,7040,16060,23100,16060,23100
